"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"engineer.name.baltanos","Baltanos","Baltanos","","Baltanos","","","Балтанос","Baltanos","Baltanos"
"engineer.name.bill_turner","Bill Turner","Bill Turner","","Bill Turner","Bill Turner","","Билл Тёрнер","Bill Turner","Bill Turner"
"engineer.name.broo_tarquin","Broo Tarquin","Broo Tarquin","","Broo Tarquin","Broo Tarquin","","Бру Таркуин","Broo Tarquin","Broo Tarquin"
"engineer.name.chloe_sedesi","Chloe Sedesi","Chloe Sedesi","","Chloe Sedesi","Chloe Sedesi","","Хлоя Седеси","Chloe Sedesi","Chloe Sedesi"
"engineer.name.colonel_bris_dekker","Colonel Bris Dekker","Colonel Bris Dekker","","Colonel Bris Dekker","Colonel Bris Dekker","","Полковник Брис Деккер","Colonel Bris Dekker","Colonel Bris Dekker"
"engineer.name.didi_vatermann","Didi Vatermann","Didi Vatermann","","Didi Vatermann","Didi Vatermann","","Диди Ватерманн","Didi Vatermann","Didi Vatermann"
"engineer.name.domino_green","Domino Green","Domino Green","","Domino Green","Domino Green","","Домино Грин","Domino Green","Domino Green"
"engineer.name.eleanor_bresa","Eleanor Bresa","Eleanor Bresa","","Eleanor Bresa","","","Элеанор Бреса","Eleanor Bresa","Eleanor Bresa"
"engineer.name.elvira_martuuk","Elvira Martuuk","Elvira Martuuk","","Elvira Martuuk","Elvira Martuuk","","Эльвира Мартуук","Elvira Martuuk","Elvira Martuuk"
"engineer.name.etienne_dorn","Etienne Dorn","Etienne Dorn","","Etienne Dorn","","","Этьенн Дорн","Etienne Dorn","Etienne Dorn"
"engineer.name.felicity_farseer","Felicity Farseer","Felicity Farseer","","Felicity Farseer","Felicity Farseer","","Фелисити Фарсир","Felicity Farseer","Felicity Farseer"
"engineer.name.hera_tani","Hera Tani","Hera Tani","","Hera Tani","Hera Tani","","Гера Тани","Hera Tani","Hera Tani"
"engineer.name.hero_ferrari","Hero Ferrari","Hero Ferrari","","Hero Ferrari","Hero Ferrari","","Хиро Феррари","Hero Ferrari","Hero Ferrari"
"engineer.name.jude_navarro","Jude Navarro","Jude Navarro","","Jude Navarro","Jude Navarro","","Джуд Наварро","Jude Navarro","Jude Navarro"
"engineer.name.juri_ishmaak","Juri Ishmaak","Juri Ishmaak","","Juri Ishmaak","Juri Ishmaak","","Юрий Ишмаак","Juri Ishmaak","Juri Ishmaak"
"engineer.name.kit_fowler","Kit Fowler","Kit Fowler","","Kit Fowler","Kit Fowler","","Кит Фаулер","Kit Fowler","Kit Fowler"
"engineer.name.lei_cheung","Lei Cheung","Lei Cheung","","Lei Cheung","Lei Cheung","","Лэй Чун","Lei Cheung","Lei Cheung"
"engineer.name.liz_ryder","Liz Ryder","Liz Ryder","","Liz Ryder","Liz Ryder","","Лиз Райдер","Liz Ryder","Liz Ryder"
"engineer.name.lori_jameson","Lori Jameson","Lori Jameson","","Lori Jameson","Lori Jameson","","Лори Джеймсон","Lori Jameson","Lori Jameson"
"engineer.name.marco_qwent","Marco Qwent","Marco Qwent","","Marco Qwent","Marco Qwent","","Марко Куэнт","Macro Qwent","Marco Qwent"
"engineer.name.marsha_hicks","Marsha Hicks","Marsha Hicks","","Marsha Hicks","","","Марша Хикс","Marsha Hicks","Marsha Hicks"
"engineer.name.mel_brandon","Mel Brandon","Mel Brandon","","Mel Brandon","","","Мэл Брендон","Mel Brandon","Mel Brandon"
"engineer.name.oden_geiger","Oden Geiger","Oden Geiger","","Oden Geiger","Oden Geiger","","Оден Гейгер","Oden Geiger","Oden Geiger"
"engineer.name.petra_olmanova","Petra Olmanova","Petra Olmanova","","Petra Olmanova","","","Петра Олманова","Petra Olmanova","Petra Olmanova"
"engineer.name.professor_palin","Professor Palin","Professor Palin","","Professor Palin","Professeur Palin","","Профессор Палин","Professor Palin","Professor Palin"
"engineer.name.ram_tah","Ram Tah","Ram Tah","","Ram Tah","Ram Tah","","Рэм Та","Ram Tah","Ram Tah"
"engineer.name.remote_workshop","Remote Workshop","Remote Workshop","Remote -Workshop","Taller remoto","Atelier à distance","Workshop remoto","Удаленая мастерская","远程工坊","დისტანციური სახელოსნო"
"engineer.name.rosa_dayette","Rosa Dayette","Rosa Dayette","","Rosa Dayette","","","Роза Дайетт","Rosa Dayette","Rosa Dayette"
"engineer.name.selene_jean","Selene Jean","Selene Jean","","Selene Jean","Selene Jean","","Селин Джин","Selene Jean","Selene Jean"
"engineer.name.terra_velasquez","Terra Velasquez","Terra Velasquez","","Terra Velasquez","Terra Velasquez","","Терра Веласкез","Terra Velasquez","Terra Velasquez"
"engineer.name.the_dweller","The Dweller","The Dweller","","The Dweller","The Dweller","","Обитатель","The Dweller","The Dweller"
"engineer.name.the_sarge","The Sarge","The Sarge","","The Sarge","The Sarge","","Сержант","The Sarge","The Sarge"
"engineer.name.tiana_fortune","Tiana Fortune","Tiana Fortune","","Tiana Fortune","Tiana Fortune","","Тиана Форчун","Tiana Fortune","Tiana Fortune"
"engineer.name.tod_the_blaster_mcquinn","Tod ""The Blaster"" McQuinn","Tod ""The Blaster"" McQuinn","","Tod ""The Blaster"" McQuinn","Tod ""The Blaster"" McQuinn","","Тод «Бластер» МакКуин","Tod ""The Blaster"" McQuinn","Tod ""The Blaster"" McQuinn"
"engineer.name.uma_laszlo","Uma Laszlo","Uma Laszlo","","Uma Laszlo","Uma Laszlo","","Ума Ласло","Uma Laszlo","Uma Laszlo"
"engineer.name.unknown","Not available","Not available","Nicht verfügbar","No disponible","Pas disponible","Não disponível","Недоступен","不可用","არ არის მისაწვდომი"
"engineer.name.wellington_beck","Wellington Beck","Wellington Beck","","Wellington Beck","Wellington Beck","","Веллингтон Бек","Wellington Beck","Wellington Beck"
"engineer.name.yarden_bond","Yarden Bond","Yarden Bond","","Yarden Bond","Yarden Bond","","Ярден Бонд","Yarden Bond","Yarden Bond"
"engineer.name.yi_shen","Yi Shen","Yi Shen","","Yi Shen","","","И Шэнь","Yi Shen","Yi Shen"
"engineer.name.zacariah_nemo","Zacariah Nemo","Zacariah Nemo","","Zacariah Nemo","Zacariah Nemo","","Закария Немо","Zacariah Nemo","Zacariah Nemo"
