"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"material.mineable.location.rocky_core","Rocky ring (core)","","","Anillo rocoso (núcleo)","","","Каменное кольцо (ядро)","岩石环（核心矿藏）","ქვის წრე (ბირთვი)"
"material.mineable.location.rocky_surface","Rocky ring (surface)","","","Anillo rocoso (superficie)","","","Каменное кольцо (поверхность астероида)","岩石环（表面）","ქვის წრე (ზედაპირი)"
"material.mineable.location.rocky_surface_deposit","Rocky ring (surface deposit)","","","Anillo rocoso (depósito superficial)","","","Каменное кольцо (залежи на поверхности)","岩石环（表层矿藏）","ქვის წრე (surface deposit)"
"material.mineable.location.rocky_sub_surface_deposit","Rocky ring (sub-surface deposit)","","","Anillo rocoso (depósito subsuperficie)","","","Каменное кольцо (залежи под поверхностью)","岩石环（浅层矿藏）","ქვის წრე (sub-surface deposit)"
"material.mineable.location.metal_rich_core","Metal-rich ring (core)","","","Anillo rico en metal (núcleo)","","","Кольцо насыщенное металлом (ядро)","富金属环（核心矿藏）","მეტალით მდიდარი რგოლი (ბირთვი)"
"material.mineable.location.metal_rich_surface","Metal-rich ring (surface)","","","Anillo rico en metal (superficie)","","","Кольцо насыщенное металлом (поверхность астероида)","富金属环（表面）","მეტალით მდიდარი რგოლი (ზედაპირი)"
"material.mineable.location.metal_rich_surface_deposit","Metal-rich ring (surface deposit)","","","Anillo rico en metal (depósito superficial)","","","Кольцо насыщенное металлом (залежи на поверхности)","富金属环（表层矿藏）","მეტალით მდიდარი რგოლი (surface deposit)"
"material.mineable.location.metal_rich_sub_surface_deposit","Metal-rich ring (sub-surface deposit)","","","Anillo rico en metal (depósito subsuperficie)","","","Кольцо насыщенное металлом (залежи под поверхностью)","富金属环（浅层矿藏）","მეტალით მდიდარი რგოლი (sub-surface deposit)"
"material.mineable.location.metallic_core","Metallic ring (core)","","","Anillo metálico (núcleo)","","","Металлическое кольцо (ядро)","金属环（核心矿藏）","მეტალის რგოლი (ბირთვი)"
"material.mineable.location.metallic_surface","Metallic ring (surface)","","","Anillo metálico (superficie)","","","Металлическое кольцо (поверхность астероида)","金属环（表面）","მეტალის რგოლი (ზედაპირი)"
"material.mineable.location.metallic_surface_deposit","Metallic ring (surface deposit)","","","Anillo metálico (depósito superficial)","","","Металлическое кольцо (залежи на поверхности)","金属环（表层矿藏）","მეტალის რგოლი (surface deposit)"
"material.mineable.location.metallic_sub_surface_deposit","Metallic ring (sub-surface deposit)","","","Anillo metálico (depósito subsuperficie)","","","Металлическое кольцо (залежи под поверхностью)","金属环（浅层矿藏）","მეტალის რგოლი (sub-surface deposit)"
"material.mineable.location.icy_core","Icy ring (core)","","","Anillo helado (núcleo)","","","Ледяное кольцо (ядро)","冰环（核心矿藏）","ყინულის წრე (ბირთვი)"
"material.mineable.location.icy_surface","Icy ring (surface)","","","Anillo helado (superficie)","","","Ледяное кольцо (поверхность астероида)","冰环（表面）","ყინულის წრე (ზედაპირი)"
"material.mineable.location.icy_surface_deposit","Icy ring (surface deposit)","","","Anillo helado (depósito superficial)","","","Ледяное кольцо (залежи на поверхности)","冰环（表层矿藏）","ყინულის წრე (surface deposit)"
"material.mineable.location.icy_sub_surface_deposit","Icy ring (sub-surface deposit)","","","Anillo helado (depósito subsuperficie)","","","Ледяное кольцо (залежи под поверхностью)","冰环（浅层矿藏）","ყინულის წრე (sub-surface deposit)"
