"messageKey","","en","de","es","fr","pt","ru","zh"
"government.anarchy","Anarchy","","","Anarquía","","Anarquía","Анархия","Anarchy"
"government.communism","Communism","","","Comunismo","","Comunismo","Коммунизм","Communism"
"government.confederacy","Confederacy","","","Confederación","","Confederação","Конфедерация","Confederacy"
"government.cooperative","Cooperative","","","Cooperativa","","Cooperativa","Кооперация","Cooperative"
"government.corporate","Corporate","","","Corporación","","Corporativo","Корпоративная","Corporate"
"government.democracy","Democracy","","","Democracia","","Democracia","Демократия","Democracy"
"government.dictatorship","Dictatorship","","","Dictadura","","Ditadura","Диктатура","Dictatorship"
"government.feudal","Feudal","","","Feudal","","","Феодализм","Feudal"
"government.imperial","Imperial","","","Imperial","","","Имперская","Imperial"
"government.none","None","","","Ninguna","","Nenhum","Нет","无"
"government.patronage","Patronage","","","Patronazgo","","Patronagem","Патронаж","Patronage"
"government.prisoncolony","Prison Colony","","","Colonia Penal","","Colônia Penal","Тюремная колония","Prison Colony"
"government.theocracy","Theocracy","","","Teocracia","","Teocracia","Теократия","Theocracy"
"government.engineer","Engineer","","","Ingeniería","","Engenharia","Мастерская","Engineer"
"government.privateownership","Private Ownership","","","Propiedad Privada","","Propriedade Privada","Частная собственность","Private Ownership"
"government.unknown","Unknown","","","Desconocida","","Desconhecida","Неизвестно","未知"
